iter	Passed	Remaining
399	30425	45638
400	30532	45608
401	30595	45512
402	30683	45454
403	30774	45400
404	30870	45352
405	30985	45333
406	31081	45285
407	31183	45246
408	31285	45207
409	31395	45179
410	31469	45099
411	31599	45098
412	31729	45097
413	31785	44990
414	31847	44893
415	31967	44877
416	32075	44844
417	32185	44813
418	32291	44777
419	32412	44760
420	32482	44672
421	32581	44625
422	32689	44590
423	32806	44567
424	32919	44538
425	33031	44506
426	33138	44468
427	33251	44439
428	33361	44403
429	33477	44377
430	33587	44341
431	33680	44284
432	33772	44224
433	33866	44166
434	33955	44102
435	34041	44034
436	34087	43915
437	34175	43851
438	34249	43767
439	34319	43679
440	34407	43613
441	34496	43550
442	34590	43491
443	34682	43431
444	34770	43365
445	34862	43304
446	34948	43235
447	35041	43176
448	35132	43113
449	35220	43047
450	35291	42959
451	35378	42892
452	35474	42835
453	35567	42775
454	35660	42714
455	35751	42650
456	35842	42587
457	35934	42525
458	36025	42461
459	36113	42394
460	36207	42333
461	36297	42268
462	36387	42202
463	36476	42136
464	36568	42073
465	36660	42009
466	36748	41942
467	36834	41871
468	36920	41800
469	37011	41736
470	37095	41663
471	37178	41589
472	37272	41527
473	37365	41464
474	37458	41401
475	37547	41333
476	37642	41272
477	37738	41211
478	37832	41149
479	37923	41084
480	38018	41021
481	38107	40954
482	38199	40888
483	38295	40827
484	38380	40754
485	38473	40689
486	38566	40625
487	38657	40558
488	38743	40486
489	38852	40438
490	38945	40373
491	39064	40334
492	39150	40262
493	39245	40198
494	39343	40138
495	39430	40066
496	39521	39998
497	39614	39932
498	39701	39860
499	39798	39798
500	39892	39733
501	39989	39671
502	40078	39600
503	40169	39532
504	40261	39463
505	40356	39399
506	40452	39335
507	40550	39273
508	40651	39214
509	40742	39144
510	40834	39076
511	40928	39010
512	41020	38941
513	41113	38873
514	41225	38823
515	41323	38761
516	41411	38688
517	41507	38622
518	41600	38554
519	41687	38481
520	41777	38409
521	41865	38336
522	41963	38272
523	42051	38199
524	42142	38129
525	42228	38053
526	42320	37984
527	42410	37912
528	42499	37840
529	42597	37775
530	42687	37702
531	42773	37627
532	42865	37557
533	42960	37490
534	43051	37418
535	43137	37343
536	43223	37267
537	43311	37193
538	43408	37126
539	43523	37075
540	43636	37022
541	43740	36961
542	43849	36904
543	43963	36851
544	44063	36786
545	44171	36728
546	44266	36659
547	44382	36607
548	44489	36548
549	44593	36485
550	44694	36420
551	44796	36356
552	44908	36300
553	45018	36242
554	45122	36179
555	45226	36115
556	45320	36045
557	45411	35970
558	45501	35896
559	45594	35824
560	45686	35750
561	45779	35678
562	45872	35606
563	45960	35529
564	46048	35452
565	46142	35381
566	46239	35311
567	46331	35238
568	46430	35169
569	46523	35096
570	46610	35019
571	46701	34944
572	46793	34870
573	46891	34800
574	46988	34730
575	47080	34656
576	47175	34584
577	47266	34509
578	47362	34438
579	47449	34359
580	47543	34286
581	47639	34215
582	47729	34138
583	47818	34062
584	47910	33987
585	48005	33915
586	48094	33838
587	48182	33760
588	48274	33685
589	48368	33611
590	48460	33536
591	48550	33460
592	48647	33388
593	48734	33309
594	48826	33235
595	48922	33162
596	49008	33082
597	49096	33004
598	49190	32930
599	49277	32851
600	49366	32774
601	49460	32699
602	49548	32621
603	49641	32546
604	49730	32468
605	49821	32392
606	49940	32333
607	50042	32264
608	50136	32189
609	50228	32113
610	50320	32037
611	50414	31962
612	50508	31886
613	50594	31807
614	50684	31729
615	50778	31653
616	50867	31575
617	50958	31498
618	51050	31422
619	51158	31355
620	51254	31280
621	51350	31206
622	51439	31127
623	51530	31050
624	51621	30972
625	51718	30898
626	51812	30823
627	51909	30748
628	51994	30667
629	52087	30590
630	52187	30518
631	52284	30444
632	52373	30364
633	52460	30284
634	52551	30206
635	52637	30125
636	52730	30049
637	52820	29970
638	52918	29896
639	53007	29816
640	53099	29739
641	53195	29663
642	53300	29592
643	53405	29522
644	53499	29445
645	53591	29367
646	53682	29288
647	53780	29214
648	53879	29139
649	53972	29062
650	54062	28982
651	54154	28904
652	54249	28827
653	54345	28751
654	54414	28661
655	54517	28588
656	54614	28512
657	54701	28431
658	54799	28355
659	54892	28277
660	54977	28195
661	55065	28114
662	55155	28035
663	55243	27954
664	55314	27865
665	55405	27785
666	55497	27707
667	55596	27631
668	55690	27553
669	55787	27477
670	55881	27399
671	55975	27321
672	56069	27243
673	56163	27165
674	56252	27084
675	56342	27004
676	56435	26925
677	56530	26847
678	56618	26766
679	56707	26685
680	56807	26610
681	56911	26536
682	57002	26456
683	57095	26377
684	57187	26297
685	57281	26219
